snapshot_id,asset_id,as_of_date,asset_type,department,location,assigned_to,is_unassigned,asset_status,health_at_snapshot,age_years,warranty_days_remaining,open_issues_count,open_critical_or_high_issues,issues_opened_90d,maintenance_open_or_scheduled,maintenance_completed_365d,days_since_last_maintenance,rolling_error_count_30d,avg_cpu_temp_c,has_thermal_reading,reported_uptime_pct,risk_event_30d,risk_event_90d,label_horizon_days
AST-032_2024-05-01,AST-032,2024-05-01,Printer,Marketing,Floor 4,Daniel Kim,0,Active,Needs Attention,6.7,156,2,2,1,2,4,94,0,-1.0,0,98.1,1,1,30
AST-227_2024-04-01,AST-227,2024-04-01,Laptop,HR,Floor 4,Ravi Kumar,0,Active,Needs Attention,6.6,-1,4,3,3,0,1,156,6,66.9,1,98.9,1,1,30
AST-232_2024-06-13,AST-232,2024-06-13,Printer,Finance,Floor 4,Kevin Wu,0,Active,Needs Attention,5.3,-1,4,0,5,0,5,7,8,-1.0,0,98.0,1,1,30
AST-248_2024-02-10,AST-248,2024-02-10,Laptop,IT,Floor 5,Bob Lee,0,Active,Needs Attention,0.5,-1,2,2,3,2,0,27,8,51.6,1,95.5,1,1,30
AST-220_2024-02-13,AST-220,2024-02-13,Printer,Sales,Floor 3,Alice Tan,0,Active,Fair,3.6,-1,1,1,2,1,3,71,4,-1.0,0,96.1,0,0,30
AST-276_2024-05-12,AST-276,2024-05-12,Desktop,Marketing,Floor 5,Unassigned,1,Active,Needs Attention,5.3,196,4,4,3,1,5,144,0,69.4,1,94.1,1,1,30
AST-167_2024-02-14,AST-167,2024-02-14,Printer,Sales,Floor 1,Linda Park,0,Active,Excellent,6.7,726,0,0,1,0,0,104,1,-1.0,0,94.7,0,0,30
AST-004_2024-01-13,AST-004,2024-01-13,Printer,Finance,Floor 2,Sarah Lim,0,Active,Fair,4.7,207,1,0,0,0,5,62,6,-1.0,0,99.8,0,0,30
AST-205_2024-06-15,AST-205,2024-06-15,Desktop,Marketing,Floor 4,Bob Lee,0,Active,Needs Attention,2.7,-1,0,0,3,0,4,163,9,60.1,1,94.8,1,1,30
AST-038_2024-02-05,AST-038,2024-02-05,Desktop,HR,Floor 1,Daniel Kim,0,Active,Excellent,5.2,-1,2,1,6,2,2,9,0,51.0,1,99.2,1,1,30
AST-233_2024-05-19,AST-233,2024-05-19,Desktop,Sales,Floor 3,Ravi Kumar,0,Active,Excellent,4.7,-1,4,0,5,0,1,33,0,74.3,1,96.5,0,1,30
AST-278_2024-04-04,AST-278,2024-04-04,Laptop,Finance,Floor 4,John Smith,0,Active,Needs Attention,5.6,533,2,2,6,1,5,54,10,73.0,1,96.9,1,1,30
AST-096_2024-02-01,AST-096,2024-02-01,Printer,Marketing,Floor 5,John Smith,0,Active,Fair,4.5,-1,5,0,2,1,0,64,4,-1.0,0,99.8,0,1,30
AST-094_2024-06-24,AST-094,2024-06-24,Desktop,HR,Floor 3,Alice Tan,0,Active,Needs Attention,3.3,-1,4,4,3,1,4,195,4,60.2,1,99.5,1,1,30
AST-109_2024-01-01,AST-109,2024-01-01,Laptop,Marketing,Floor 1,Ravi Kumar,0,Active,Excellent,3.1,478,0,0,0,1,2,79,1,77.7,1,94.6,0,0,30
AST-035_2024-02-21,AST-035,2024-02-21,Desktop,Sales,Floor 1,Unassigned,1,Active,Fair,1.8,-1,1,0,2,0,3,178,6,79.3,1,94.7,0,0,30
AST-009_2024-05-24,AST-009,2024-05-24,Desktop,HR,Floor 5,Alice Tan,0,Active,Fair,2.8,-1,1,1,2,0,0,103,5,77.1,1,99.6,0,0,30
AST-078_2024-06-20,AST-078,2024-06-20,Printer,IT,Floor 4,Ravi Kumar,0,Active,Good,2.8,76,5,0,2,0,1,100,3,-1.0,0,99.7,0,1,30
AST-279_2024-04-22,AST-279,2024-04-22,Printer,Marketing,Floor 1,Ravi Kumar,0,Active,Needs Attention,5.1,593,4,2,3,1,2,175,0,-1.0,0,99.3,1,1,30
AST-026_2024-02-14,AST-026,2024-02-14,Desktop,Marketing,Floor 3,Unassigned,1,Active,Excellent,5.3,160,2,0,2,0,0,79,1,74.5,1,95.2,0,0,30
AST-170_2024-03-14,AST-170,2024-03-14,Laptop,Finance,Floor 2,Unassigned,1,Active,Needs Attention,5.8,-1,2,2,3,1,5,101,6,63.3,1,96.7,1,1,30
AST-197_2024-06-19,AST-197,2024-06-19,Printer,Marketing,Floor 3,Ravi Kumar,0,Active,Needs Attention,2.3,230,1,0,6,0,3,194,9,-1.0,0,96.8,1,1,30
AST-093_2024-01-10,AST-093,2024-01-10,Printer,Sales,Floor 5,Alice Tan,0,Active,Needs Attention,5.9,272,5,5,3,1,3,135,3,-1.0,0,99.7,1,1,30
AST-109_2024-06-03,AST-109,2024-06-03,Laptop,Marketing,Floor 2,Kevin Wu,0,Active,Needs Attention,5.1,354,4,3,2,1,1,83,0,73.0,1,94.6,1,1,30
AST-127_2024-06-20,AST-127,2024-06-20,Laptop,Sales,Floor 5,Emma Roy,0,Active,Good,2.4,27,3,0,1,1,4,91,3,53.7,1,95.8,0,0,30
AST-243_2024-06-02,AST-243,2024-06-02,Printer,Marketing,Floor 4,Unassigned,1,Active,Fair,4.8,446,2,1,5,1,0,150,6,-1.0,0,95.4,0,1,30
AST-162_2024-05-06,AST-162,2024-05-06,Printer,IT,Floor 4,Daniel Kim,0,Active,Needs Attention,4.6,-1,4,4,1,1,5,63,7,-1.0,0,95.7,1,1,30
AST-222_2024-01-07,AST-222,2024-01-07,Desktop,Marketing,Floor 1,Alice Tan,0,Active,Needs Attention,6.5,-1,3,2,6,2,4,118,7,83.4,1,99.4,1,1,30
AST-132_2024-04-12,AST-132,2024-04-12,Desktop,Sales,Floor 3,Unassigned,1,Active,Needs Attention,5.4,626,4,3,2,1,3,23,5,57.4,1,97.0,1,1,30
AST-154_2024-05-09,AST-154,2024-05-09,Laptop,Sales,Floor 5,Unassigned,1,Active,Needs Attention,3.3,267,4,2,3,2,5,191,7,50.1,1,95.7,1,1,30
AST-172_2024-04-27,AST-172,2024-04-27,Laptop,Marketing,Floor 5,Bob Lee,0,Active,Needs Attention,3.8,721,2,2,4,2,3,106,9,79.6,1,95.4,1,1,30
AST-279_2024-05-31,AST-279,2024-05-31,Printer,Marketing,Floor 1,Kevin Wu,0,Active,Needs Attention,2.9,458,3,2,3,1,0,114,4,-1.0,0,96.4,1,1,30
AST-114_2024-01-10,AST-114,2024-01-10,Desktop,HR,Floor 2,Emma Roy,0,Active,Needs Attention,6.6,563,2,0,1,0,1,194,8,68.4,1,95.3,1,1,30
AST-029_2024-04-12,AST-029,2024-04-12,Desktop,Sales,Floor 1,Unassigned,1,Active,Good,3.6,-1,2,1,2,1,2,130,3,76.5,1,96.3,0,0,30
AST-049_2024-04-02,AST-049,2024-04-02,Desktop,Marketing,Floor 4,Unassigned,1,Active,Fair,2.6,275,2,1,4,0,5,167,4,60.4,1,96.6,0,0,30
AST-267_2024-04-06,AST-267,2024-04-06,Printer,Marketing,Floor 1,Ravi Kumar,0,Active,Good,0.8,527,5,0,3,0,3,90,3,-1.0,0,94.4,0,1,30
AST-125_2024-02-29,AST-125,2024-02-29,Laptop,IT,Floor 3,Kevin Wu,0,Active,Excellent,4.0,215,1,0,5,0,3,82,0,63.6,1,96.9,0,1,30
AST-162_2024-01-09,AST-162,2024-01-09,Printer,IT,Floor 5,Alice Tan,0,Active,Needs Attention,4.2,450,2,1,3,0,1,59,8,-1.0,0,95.8,1,1,30
AST-294_2024-05-06,AST-294,2024-05-06,Desktop,HR,Floor 1,Daniel Kim,0,Active,Good,6.5,641,1,1,1,2,5,130,3,51.0,1,94.8,1,1,30
AST-009_2024-02-21,AST-009,2024-02-21,Desktop,HR,Floor 2,Unassigned,1,Active,Good,5.5,200,0,0,2,0,3,135,3,61.0,1,97.0,0,0,30
AST-095_2024-06-20,AST-095,2024-06-20,Laptop,Finance,Floor 3,Alice Tan,0,Active,Needs Attention,6.2,160,1,1,0,0,1,27,10,63.1,1,98.0,1,1,30
AST-082_2024-03-06,AST-082,2024-03-06,Desktop,IT,Floor 5,Daniel Kim,0,Active,Needs Attention,4.4,616,3,3,0,0,3,64,5,58.5,1,98.1,1,1,30
AST-116_2024-01-05,AST-116,2024-01-05,Desktop,Sales,Floor 2,Tom White,0,Active,Needs Attention,6.3,-1,4,3,4,1,5,95,0,61.9,1,94.0,1,1,30
AST-260_2024-06-19,AST-260,2024-06-19,Printer,HR,Floor 5,Unassigned,1,Active,Needs Attention,6.5,439,5,1,0,1,0,7,7,-1.0,0,97.0,1,1,30
AST-126_2024-05-11,AST-126,2024-05-11,Printer,HR,Floor 1,Unassigned,1,Active,Needs Attention,1.3,-1,4,2,0,2,2,4,2,-1.0,0,94.9,1,1,30
AST-020_2024-04-08,AST-020,2024-04-08,Desktop,Finance,Floor 4,Unassigned,1,Active,Needs Attention,6.2,-1,5,3,2,1,0,15,6,65.7,1,97.7,1,1,30
AST-063_2024-06-27,AST-063,2024-06-27,Desktop,Marketing,Floor 5,Unassigned,1,Active,Fair,0.9,-1,2,0,0,1,4,34,6,72.1,1,96.1,0,0,30
AST-031_2024-01-15,AST-031,2024-01-15,Laptop,HR,Floor 2,Unassigned,1,Active,Needs Attention,6.0,69,5,3,5,0,2,56,2,59.7,1,98.9,1,1,30
AST-289_2024-05-01,AST-289,2024-05-01,Laptop,Marketing,Floor 2,Emma Roy,0,Active,Fair,3.1,86,2,0,0,0,3,191,4,63.6,1,99.7,0,0,30
AST-210_2024-03-21,AST-210,2024-03-21,Printer,IT,Floor 5,Unassigned,1,Active,Fair,4.8,631,1,1,4,1,2,83,4,-1.0,0,97.4,0,0,30
AST-090_2024-01-22,AST-090,2024-01-22,Laptop,Marketing,Floor 2,Chris Tan,0,Active,Good,0.9,1,5,1,2,2,5,91,2,65.0,1,99.2,1,1,30
AST-061_2024-01-21,AST-061,2024-01-21,Desktop,IT,Floor 3,Chris Tan,0,Active,Needs Attention,6.6,-1,4,2,2,2,4,134,10,71.5,1,94.7,1,1,30
AST-296_2024-04-21,AST-296,2024-04-21,Desktop,IT,Floor 1,Linda Park,0,Active,Fair,5.0,493,5,1,0,0,2,178,6,60.2,1,98.5,0,1,30
AST-299_2024-02-03,AST-299,2024-02-03,Desktop,Finance,Floor 3,Daniel Kim,0,Active,Needs Attention,5.6,-1,4,4,1,2,0,82,7,78.1,1,97.9,1,1,30
AST-104_2024-05-15,AST-104,2024-05-15,Desktop,Sales,Floor 3,Unassigned,1,Active,Needs Attention,1.8,-1,1,0,0,1,1,183,7,62.8,1,99.3,1,1,30
AST-232_2024-01-03,AST-232,2024-01-03,Printer,Finance,Floor 4,Alice Tan,0,Active,Needs Attention,6.5,-1,4,1,2,2,4,179,7,-1.0,0,99.8,1,1,30
AST-296_2024-02-04,AST-296,2024-02-04,Desktop,IT,Floor 2,Sarah Lim,0,Active,Needs Attention,2.2,-1,5,5,6,2,4,44,0,83.9,1,98.7,1,1,30
AST-034_2024-01-02,AST-034,2024-01-02,Desktop,HR,Floor 2,Maria Lopez,0,Active,Needs Attention,6.5,-1,3,3,2,1,5,46,6,75.7,1,97.4,1,1,30
AST-019_2024-06-24,AST-019,2024-06-24,Desktop,HR,Floor 2,John Smith,0,Active,Needs Attention,3.5,-1,2,2,1,0,2,124,6,64.1,1,97.6,1,1,30
AST-041_2024-06-14,AST-041,2024-06-14,Desktop,Finance,Floor 3,Bob Lee,0,Active,Needs Attention,1.1,-1,5,5,4,2,1,10,7,60.8,1,99.3,1,1,30
AST-089_2024-05-02,AST-089,2024-05-02,Laptop,Marketing,Floor 5,John Smith,0,Active,Needs Attention,1.4,314,2,2,3,1,3,190,7,56.3,1,96.7,1,1,30
AST-101_2024-01-30,AST-101,2024-01-30,Desktop,HR,Floor 4,Emma Roy,0,Active,Fair,2.1,-1,0,0,4,0,3,152,5,56.9,1,98.0,0,0,30
AST-267_2024-02-23,AST-267,2024-02-23,Printer,Marketing,Floor 4,Unassigned,1,Active,Good,2.9,83,5,0,5,0,0,114,3,-1.0,0,95.7,0,1,30
AST-058_2024-03-03,AST-058,2024-03-03,Desktop,Sales,Floor 1,John Smith,0,Active,Needs Attention,2.9,635,5,4,3,1,2,41,7,59.4,1,97.9,1,1,30
AST-144_2024-06-23,AST-144,2024-06-23,Laptop,HR,Floor 5,Tom White,0,Active,Needs Attention,4.8,-1,2,1,5,2,4,113,10,50.1,1,95.5,1,1,30
AST-078_2024-02-10,AST-078,2024-02-10,Printer,IT,Floor 5,Unassigned,1,Active,Needs Attention,2.6,-1,3,2,3,2,5,83,7,-1.0,0,99.3,1,1,30
AST-008_2024-05-12,AST-008,2024-05-12,Laptop,IT,Floor 1,Bob Lee,0,Active,Needs Attention,2.0,464,5,3,2,1,5,17,10,64.0,1,95.9,1,1,30
AST-061_2024-01-08,AST-061,2024-01-08,Desktop,IT,Floor 4,Alice Tan,0,Active,Fair,4.1,-1,0,0,6,0,2,78,5,84.1,1,98.3,0,1,30
AST-083_2024-02-05,AST-083,2024-02-05,Desktop,Marketing,Floor 2,Bob Lee,0,Active,Needs Attention,6.4,384,3,3,3,0,2,48,4,78.8,1,96.4,1,1,30
AST-040_2024-04-28,AST-040,2024-04-28,Laptop,Sales,Floor 3,Alice Tan,0,Active,Needs Attention,4.9,-1,5,3,0,1,1,155,3,53.2,1,95.2,1,1,30
AST-138_2024-05-11,AST-138,2024-05-11,Printer,IT,Floor 3,Linda Park,0,Active,Needs Attention,3.3,407,4,3,2,0,1,79,6,-1.0,0,97.0,1,1,30
AST-152_2024-02-24,AST-152,2024-02-24,Printer,Sales,Floor 5,Alice Tan,0,Active,Needs Attention,3.5,347,0,0,0,1,2,122,8,-1.0,0,94.2,1,1,30
AST-026_2024-05-06,AST-026,2024-05-06,Desktop,Marketing,Floor 4,Unassigned,1,Active,Needs Attention,0.8,-1,1,1,4,2,0,191,7,82.7,1,97.1,1,1,30
AST-290_2024-04-21,AST-290,2024-04-21,Desktop,HR,Floor 1,Tom White,0,Active,Fair,1.7,351,5,0,0,1,0,50,6,73.6,1,95.7,0,1,30
AST-191_2024-06-21,AST-191,2024-06-21,Printer,Finance,Floor 4,Unassigned,1,Active,Needs Attention,3.4,248,1,1,2,0,4,65,10,-1.0,0,94.7,1,1,30
AST-110_2024-05-12,AST-110,2024-05-12,Printer,Sales,Floor 5,Tom White,0,Active,Needs Attention,3.7,360,3,2,5,2,0,158,8,-1.0,0,97.0,1,1,30
AST-233_2024-03-04,AST-233,2024-03-04,Desktop,Sales,Floor 5,Ravi Kumar,0,Active,Needs Attention,4.9,782,5,4,0,2,1,166,2,69.9,1,95.1,1,1,30
AST-226_2024-01-12,AST-226,2024-01-12,Desktop,Sales,Floor 4,Unassigned,1,Active,Needs Attention,5.7,-1,5,4,0,2,2,97,0,80.9,1,99.6,1,1,30
AST-019_2024-01-12,AST-019,2024-01-12,Desktop,HR,Floor 1,Sarah Lim,0,Active,Good,6.0,-1,0,0,2,2,1,163,2,57.8,1,97.2,1,1,30
AST-069_2024-05-12,AST-069,2024-05-12,Laptop,IT,Floor 5,John Smith,0,Active,Good,5.3,211,5,0,1,2,5,86,3,60.1,1,94.2,1,1,30
